"variable","GEOID","NAME","estimate","moe","label","concept"
"B28010_002","45","South Carolina",1811506,6839,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","49","Utah",999866,2798,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","29","Missouri",2240530,6619,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","31","Nebraska",711363,2750,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","33","New Hampshire",510443,2176,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","35","New Mexico",715435,3580,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","16","Idaho",619106,2899,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","18","Indiana",2404899,7884,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","50","Vermont",242354,1672,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","30","Montana",400534,2398,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","32","Nevada",1081432,3033,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","34","New Jersey",3189414,7315,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","36","New York",6941225,15333,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","17","Illinois",4567827,9183,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","19","Iowa",1169965,3864,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","51","Virginia",3032703,7788,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","54","West Virginia",622923,3475,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","56","Wyoming",216592,1790,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","53","Washington",2803456,5563,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","37","North Carolina",3712354,11326,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","72","Puerto Rico",908230,4677,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","20","Kansas",1062203,4122,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","38","North Dakota",291910,2111,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","55","Wisconsin",2208958,5366,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","21","Kentucky",1576610,5348,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_003","10","Delaware",302465,2257,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","09","Connecticut",1136950,4884,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","17","Illinois",3884332,12949,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","16","Idaho",539991,3955,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","01","Alabama",1327877,7682,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","04","Arizona",2184385,8590,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","06","California",11016839,31781,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_003","11","District of Columbia",256104,2297,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
